movie,year,rating,genre,imdb,votes,grosses,runtime_min
Jennifer's Body,2009,R,"['Comedy', ' Horror']",5.2,113286.0,16204793.0,102
Happy Days,1984,,[''],7.4,15680.0,,30
Kick-Ass,2010,R,"['Action', ' Comedy', ' Crime']",7.6,518502.0,48071303.0,117
Pitch Perfect 3,2017,PG-13,"['Comedy', ' Music']",5.8,54326.0,104897530.0,93
The IT Crowd,2013,,[''],8.5,129836.0,,25
The End of the F***ing World,2019,,[''],8.1,135986.0,,25
Adventures in Babysitting,1987,,[''],6.9,37142.0,34368475.0,102
Gilmore Girls: A Year in the Life,2016,,[''],7.7,28559.0,,90
The Mask,1994,PG-13,"['Action', ' Comedy', ' Crime']",6.9,339893.0,119938730.0,101
Californication,2014,,[''],8.3,169803.0,,28
"Love, Death & Robots",19– ,,[''],8.5,89511.0,,15
The Hangover,2009,R,['Comedy'],7.7,707279.0,277322503.0,100
Will & Grace,2020,,[''],7.2,50148.0,,22
One Day at a Time,17– ,,[''],8.2,12232.0,,30
Norsemen,16– ,,[''],7.8,13504.0,,30
A League of Their Own,1992,PG,"['Comedy', ' Drama', ' Family']",7.3,91897.0,107533928.0,128
Hackers,1995,PG-13,"['Comedy', ' Crime', ' Drama']",6.3,64549.0,7564000.0,105
The Kissing Booth 2,2020,,[''],5.9,16259.0,,134
Rita,2020,,[''],8.1,6660.0,,40
Never Been Kissed,1999,PG-13,"['Comedy', ' Drama', ' Romance']",6.1,82019.0,55474756.0,107
Finding Nemo,2003,,[''],8.1,930467.0,380843261.0,100
Ghostbusters,1984,,[''],7.8,348087.0,238632124.0,105
What We Do in the Shadows,2014,R,"['Comedy', ' Horror']",7.7,151549.0,3333000.0,86
Guest House,2020,R,['Comedy'],4.6,345.0,,84
Vice,2018,R,"['Biography', ' Comedy', ' Drama']",7.2,114160.0,47836282.0,132
Grease 2,1982,,[''],4.4,32294.0,15171476.0,115
Futurama,2013,,[''],8.4,209468.0,,22
The Descendants,2011,R,"['Comedy', ' Drama']",7.3,230430.0,82584160.0,115
Charlie's Angels: Full Throttle,2003,PG-13,"['Action', ' Adventure', ' Comedy']",4.9,119634.0,100830111.0,106
True Lies,1994,R,"['Action', ' Comedy', ' Thriller']",7.2,233312.0,146282411.0,141
Good Boys,2019,R,"['Adventure', ' Comedy']",6.7,56650.0,69056735.0,90
Hot Fuzz,2007,R,"['Action', ' Comedy', ' Mystery']",7.8,455381.0,23637265.0,121
Saved by the Bell,1992,,[''],7.0,30692.0,,30
Pretty Woman,1990,R,"['Comedy', ' Romance']",7.0,282518.0,178406268.0,119
Spenser Confidential,2020,R,"['Action', ' Comedy', ' Crime']",6.2,62268.0,,111
She-Hulk,,,[''],,,,0
The Croods: A New Age,2020,PG,"['Animation', ' Adventure', ' Comedy']",,,,0
Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",6.4,160270.0,50287556.0,101
"Crazy, Stupid, Love.",2011,PG-13,"['Comedy', ' Drama', ' Romance']",7.4,463788.0,84351197.0,118
SpongeBob SquarePants,99– ,,[''],8.1,80862.0,,23
The Favourite,2018,R,"['Biography', ' Comedy', ' Drama']",7.5,164814.0,34366783.0,119
Une fille facile,2019,,[''],5.5,3064.0,,92
The Rocky Horror Picture Show,1975,,[''],7.4,129178.0,139876417.0,100
Lost in Translation,2003,R,"['Comedy', ' Drama']",7.7,404928.0,44585453.0,102
Malèna,2000,R,"['Comedy', ' Drama', ' Romance']",7.5,88112.0,3429045.0,108
Derry Girls,18– ,,[''],8.4,17702.0,,30
A Series of Unfortunate Events,2019,,[''],7.8,52162.0,,50
Ghostbusters: Afterlife,2021,,[''],,,,0
Midnight in Paris,2011,PG-13,"['Comedy', ' Fantasy', ' Romance']",7.7,381151.0,56816662.0,96
Veep,2019,,[''],8.3,43479.0,,28
The Office,2003,,[''],8.5,95900.0,,30
Offspring,2017,,[''],8.3,3385.0,,60
Sa-rang-eui bul-sa-chak,2020,,[''],8.8,8467.0,,70
Adventure Time with Finn & Jake,2018,,[''],8.6,73953.0,,11
Valley Girl,1983,,[''],6.4,13120.0,16797122.0,99
Hagane no renkinjutsushi,2012,,[''],9.1,110096.0,,24
Nanatsu no taizai,14– ,,[''],8.1,20065.0,,24
Work It,2020,,[''],6.1,7276.0,,93
The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",5.5,47279.0,6563605.0,104
New Tricks,2015,,[''],7.8,4747.0,,60
Atypical,17– ,,[''],8.3,55501.0,,30
Red Shoes and the Seven Dwarfs,2019,PG,"['Animation', ' Action', ' Adventure']",6.3,1992.0,,92
The League,2015,,[''],8.2,43106.0,,22
Naruto,2007,,[''],8.3,65516.0,,24
The SpongeBob Movie: Sponge on the Run,2020,PG,"['Animation', ' Adventure', ' Comedy']",6.3,416.0,,91
The Nice Guys,2016,R,"['Action', ' Comedy', ' Crime']",7.4,271245.0,36261763.0,116
Birdman or (The Unexpected Virtue of Ignorance),2014,R,"['Comedy', ' Drama']",7.7,568152.0,42340598.0,119
One Punch Man: Wanpanman,15– ,,[''],8.8,107221.0,,24
Young Frankenstein,1974,,[''],8.0,140866.0,86300000.0,106
Haikyuu!!,2020,,[''],8.7,7516.0,,24
The Nanny,1999,,[''],6.9,36539.0,,22
Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",6.6,142324.0,438653.0,84
Zoey's Extraordinary Playlist,20– ,,[''],8.2,8315.0,,60
The Producers,2005,PG-13,"['Comedy', ' Crime', ' Musical']",6.3,40421.0,19377727.0,134
You're the Worst,2019,,[''],8.1,22757.0,,30
Phineas and Ferb,2015,,[''],7.9,33242.0,,15
Toy Story,1995,,[''],8.3,867133.0,191796233.0,81
Ramy,19– ,,[''],8.0,8339.0,,30
50 First Dates,2004,PG-13,"['Comedy', ' Drama', ' Romance']",6.8,321300.0,120908074.0,99
Game Night,2018,R,"['Action', ' Comedy', ' Crime']",6.9,199545.0,69179066.0,100
Roseanne,2018,,[''],7.0,38916.0,,21
Freaks and Geeks,2000,,[''],8.8,126281.0,,44
The Proposal,2009,PG-13,"['Comedy', ' Drama', ' Romance']",6.7,290201.0,163958031.0,108
The King of Queens,2007,,[''],7.3,74180.0,,22
Three's Company,1984,,[''],7.5,11834.0,,30
Staged,2020,,[''],8.6,1770.0,,22
Shrek,2001,PG,"['Animation', ' Adventure', ' Comedy']",7.8,601722.0,267665011.0,90
