movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Napoleon Dynamite,2004,PG,['Comedy'],6.9,64,195318,44540956.0,69,96
Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",5.6,38,104070,80001807.0,56,114
Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",7.6,80,240652,608581744.0,76,118
Zombieland,2009,R,"['Adventure', ' Comedy', ' Fantasy']",7.6,73,512008,75590286.0,76,88
Aladdin,1992,,"['Animation', ' Adventure', ' Comedy']",8.0,86,365296,217350219.0,80,90
The Waterboy,1998,PG-13,"['Comedy', ' Sport']",6.1,41,146245,161491646.0,61,90
"I, Tonya",2017,R,"['Biography', ' Comedy', ' Drama']",7.5,77,174265,30014539.0,75,119
The Princess and the Frog,2009,,"['Animation', ' Adventure', ' Comedy']",7.1,73,121117,104400899.0,71,97
"Monsters, Inc.",2001,G,"['Animation', ' Adventure', ' Comedy']",8.0,79,797244,289916256.0,80,92
Last Christmas,2019,PG-13,"['Comedy', ' Drama', ' Romance']",6.5,50,38743,,65,103
Mamma Mia!,2008,PG-13,"['Comedy', ' Musical', ' Romance']",6.4,51,211221,144130063.0,64,108
Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",7.1,70,297146,216648740.0,71,118
Silver Linings Playbook,2012,R,"['Comedy', ' Drama', ' Romance']",7.7,81,652230,132092958.0,77,122
Fighting with My Family,2019,PG-13,"['Biography', ' Comedy', ' Drama']",7.1,68,63131,22958886.0,71,108
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,['Comedy'],7.3,89,347530,128505958.0,73,84
Caddyshack,1980,,"['Comedy', ' Sport']",7.3,48,103230,39846344.0,73,98
National Lampoon's Animal House,1978,,['Comedy'],7.5,79,110223,201747.0,75,109
Lake Placid,1999,R,"['Action', ' Comedy', ' Horror']",5.7,34,54155,31770414.0,57,82
Moonrise Kingdom,2012,PG-13,"['Comedy', ' Drama', ' Romance']",7.8,84,312470,45512466.0,78,94
13 Going on 30,2004,PG-13,"['Comedy', ' Fantasy', ' Romance']",6.2,57,162825,57231747.0,62,98
Made in Italy,2020,R,['Comedy'],5.6,45,1739,,56,94
Casino Royale,1967,,['Comedy'],5.2,48,26685,,52,131
Tangled,2010,PG,"['Animation', ' Adventure', ' Comedy']",7.7,71,397158,200821936.0,77,100
The Jesus Rolls,2019,R,"['Comedy', ' Crime', ' Drama']",4.3,44,2281,,43,85
The Wedding Planner,2001,PG-13,"['Comedy', ' Romance']",5.3,33,74865,60400856.0,53,103
Murder Mystery,2019,PG-13,"['Action', ' Comedy', ' Crime']",6.0,38,95961,,60,97
The New Guy,2002,PG-13,['Comedy'],5.9,24,33316,28972187.0,59,88
Phineas and Ferb the Movie: Candace Against the Universe,2020,,"['Animation', ' Adventure', ' Comedy']",7.3,77,1873,,73,86
Magic Mike,2012,R,"['Comedy', ' Drama']",6.1,72,129658,113721571.0,61,110
Little Miss Sunshine,2006,R,"['Comedy', ' Drama']",7.8,80,432888,59891098.0,78,101
Jay and Silent Bob Reboot,2019,R,['Comedy'],5.7,46,17920,,57,105
Bring It On,2000,PG-13,"['Comedy', ' Romance', ' Sport']",6.0,52,86004,68379000.0,60,98
Shaun of the Dead,2004,R,"['Comedy', ' Horror']",7.9,76,503472,13542874.0,79,99
Fear and Loathing in Las Vegas,1998,R,"['Adventure', ' Comedy', ' Drama']",7.6,41,255634,10680275.0,76,118
